feature,mean,std,min,max
card_usage_count,1.756094213855761e-16,1.0000000000000002,-0.3312169098192465,3.019169524121595
customer_transaction_count,1.756094213855761e-16,1.0000000000000002,-0.3312169098192465,3.019169524121595
email_domain_freq,0.0,0.0,0.0,0.0
country_freq,0.0,0.0,0.0,0.0
state_freq,3.4784173851373727e-16,0.9999999999999999,-1.5562336671241417,1.5257652368943022
email_domain,0.0,0.0,0.0,0.0
address_country,0.0,0.0,0.0,0.0
address_state,5.572222024734626e-17,1.0,-1.3601222160688051,1.4662453321867663
exp_month,5.572222024734626e-17,1.0,-1.5537077489028759,1.5906619730810485
exp_year,4.687420709291916e-15,1.0,-1.5806452687461847,1.5712290228993442
multiple_states,0.0,0.0,0.0,0.0
multiple_countries,0.0,0.0,0.0,0.0
